New York,10385227
Pennsylvania,8720017
Illinois,6485280
Ohio,5759394
Texas,4663228
Massachusetts,3852356
Michigan,3668412
California,3426861
Missouri,3404055
New Jersey,3155900
Indiana,2930390
Georgia,2895832
Wisconsin,2632067
North Carolina,2559123
Kentucky,2416630
Iowa,2404021
Minnesota,2387125
Alabama,2348174
Tennessee,2337885
Virginia,2309187
Oklahoma,2028283
Louisiana,1798509
Mississippi,1790618
Kansas,1769257
Arkansas,1752204
South Carolina,1683724
West Virginia,1463701
Maryland,1449661
Connecticut,1380631
Washington,1356621
Nebraska,1296372
Florida,968470
Colorado,939629
Oregon,783389
Maine,768014
North Dakota,646872
South Dakota,636547
Rhode Island,604397
Montana,548889
Utah,449396
New Hampshire,443083
Idaho,431866
New Mexico,360350
Vermont,352428
Arizona,334162
Delaware,223003
Wyoming,194402
Nevada,77407
