New York,6003174
Pennsylvania,5258113
Illinois,3826352
Ohio,3672329
Missouri,2679185
Massachusetts,2238947
Texas,2235527
Indiana,2192404
Michigan,2093890
Iowa,1912297
Kentucky,1858635
Georgia,1837353
Tennessee,1767518
Wisconsin,1693330
Virginia,1655980
North Carolina,1617949
Alabama,1513401
New Jersey,1444933
Kansas,1428108
Minnesota,1310283
Mississippi,1289600
California,1213398
South Carolina,1151149
Arkansas,1128211
Louisiana,1118588
Nebraska,1062656
Maryland,1042390
West Virginia,762794
Connecticut,746258
Maine,661086
Colorado,413249
Florida,391422
New Hampshire,376530
Washington,357232
South Dakota,348600
Rhode Island,345506
Vermont,332422
Oregon,317704
North Dakota,190983
Delaware,168493
Montana,142924
Idaho,88548
Wyoming,60705
Nevada,47355
