New York,4382759
Pennsylvania,3521951
Ohio,2665260
Illinois,2539891
Missouri,1721295
Indiana,1680637
Massachusetts,1457351
Kentucky,1321011
Tennessee,1258520
Virginia,1225163
Iowa,1194020
Georgia,1184109
Michigan,1184059
North Carolina,1071361
Wisconsin,1054670
Alabama,996992
New Jersey,906096
Mississippi,827922
Texas,818579
Maryland,780894
Louisiana,726915
South Carolina,705606
Maine,626915
California,560247
Connecticut,537454
Arkansas,484471
West Virginia,442014
Minnesota,439706
Kansas,364399
Vermont,330551
New Hampshire,318300
Rhode Island,217353
Florida,187748
Delaware,125015
Nebraska,122993
Oregon,90923
Nevada,42491
