New York,9113614
Pennsylvania,7665111
Illinois,5638591
Ohio,4767121
Texas,3896542
Massachusetts,3366416
Missouri,3293335
Michigan,2810173
Indiana,2700876
Georgia,2609121
New Jersey,2537167
California,2377549
Wisconsin,2333860
Kentucky,2289905
Iowa,2224771
North Carolina,2206287
Tennessee,2184789
Alabama,2138093
Minnesota,2075708
Virginia,2061612
Mississippi,1797114
Kansas,1690949
Oklahoma,1657155
Louisiana,1656388
Arkansas,1574449
South Carolina,1515400
Maryland,1295346
West Virginia,1221119
Nebraska,1192214
Washington,1141990
Connecticut,1114756
Colorado,799024
Florida,752619
Maine,742371
Oregon,672765
South Dakota,583888
North Dakota,577056
Rhode Island,542610
New Hampshire,430572
Montana,376053
Utah,373351
Vermont,355956
Idaho,325594
Delaware,202322
Wyoming,145965
Nevada,81875
