California,23667902
New York,17558072
Texas,14229191
Pennsylvania,11863895
Illinois,11426518
Ohio,10797630
Florida,9746324
Michigan,9262078
New Jersey,7364823
North Carolina,5881766
Massachusetts,5737037
Indiana,5490224
Georgia,5463105
Virginia,5346818
Missouri,4916686
Wisconsin,4705767
Tennessee,4591120
Maryland,4216975
Louisiana,4205900
Washington,4132156
Minnesota,4075970
Alabama,3893888
Kentucky,3660777
South Carolina,3121820
Connecticut,3107576
Oklahoma,3025290
Iowa,2913808
Colorado,2889964
Arizona,2718215
Oregon,2633105
Mississippi,2520638
Kansas,2363679
Arkansas,2286435
West Virginia,1949644
Nebraska,1569825
Utah,1461037
New Mexico,1302894
Maine,1124660
Hawaii,964691
Rhode Island,947154
Idaho,943935
New Hampshire,920610
Nevada,800493
Montana,786690
South Dakota,690768
North Dakota,652717
Delaware,594338
Vermont,511456
Wyoming,469557
Alaska,401851
