California,19953134
New York,18241266
Pennsylvania,11793909
Texas,11196730
Illinois,11113976
Ohio,10652017
Michigan,8875083
New Jersey,7168164
Florida,6789443
Massachusetts,5689170
Indiana,5193669
North Carolina,5082059
Missouri,4677399
Virginia,4648494
Georgia,4589575
Wisconsin,4417933
Tennessee,3924164
Maryland,3922399
Minnesota,3805069
Louisiana,3643180
Alabama,3444165
Washington,3409169
Kentucky,3219311
Connecticut,3032217
Iowa,2825041
South Carolina,2590516
Oklahoma,2559253
Kansas,2249071
Mississippi,2216912
Colorado,2207259
Oregon,2091385
Arkansas,1923295
Arizona,1772482
West Virginia,1744237
Nebraska,1483791
Utah,1059273
New Mexico,1016000
Maine,993663
Rhode Island,949723
Hawaii,769913
New Hampshire,737681
Idaho,713008
Montana,694409
South Dakota,666257
North Dakota,617761
Delaware,548104
Nevada,488738
Vermont,444732
Wyoming,332416
Alaska,302173
